,Year of Region,Open Schools,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,Target Growth Rate,,60%,,,,,,,,,,,,,,,,,,,,
1,2,1,,Maximum Annual New Schools,,200,,,,,,,,,,,,,,,,,,,,
2,3,2,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,,,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,2030-2031,2031-2032
8,5,8,,Target # Schools,3,5,8,13,21,34,54,86,138,221,354,554,754,954,"1,154","1,354","1,554","1,754","1,954","2,154","2,354","2,554"
13,6,13,,Target New Schools,1,2,3,5,8,13,20,32,52,83,133,200,200,200,200,200,200,200,200,200,200,200
21,7,21,,Schools (actual),3,5,8,13,21,34,56,90,135,180,246,326,468,661,903,"1,176","1,500","1,850","2,195","2,467","2,500","2,500"
34,8,34,,New Regions,0,0,0,1,0,2,3,5,8,13,17,0,0,0,0,0,0,0,0,0,0,0
55,9,55,,Total Regions,1,1,1,2,2,4,7,12,20,33,50,50,50,50,50,50,50,50,50,50,50,50
89,10,89,,Clusters,1,1,1,3,3,6,11,18,30,44,63,68,76,89,110,143,170,196,226,247,250,250
100,11,100,,Growth Rate,,67%,60%,63%,62%,62%,65%,61%,50%,33%,37%,33%,44%,41%,37%,30%,28%,23%,19%,12%,1%,0%
100,12,100,,,,,,,,,,,,,,,,,,,,,,,,
100,13,100,,,,,,,,,,,,,,,,,,,,,,,,
100,14,100,,,,,,,,,,,,,,,,,,,,,,,,
100,15,100,,,,,,,,,,,,,,,,,,,,,,,,
100,16,100,,,,,,,,,,,,,,,,,,,,,,,,
100,17,100,,,,,,,,,,,,,,,,,,,,,,,,
100,18,100,,,,,,,,,,,,,,,,,,,,,,,,
100,19,100,,,,,,,,,,,,,,,,,,,,,,,,
100,20,100,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Year of Region,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026,2026-2027,2027-2028,2028-2029,2029-2030,2030-2031,2031-2032
,,,,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,20,20,20,20,20
,,,,2,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,3,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,4,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,5,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,6,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,7,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,8,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,9,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,10,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,11,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,12,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,,13,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,14,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,15,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,16,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,17,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
